COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Lassen,2015.00,Age groups,65+ years,65+ years,18.00,41.30,
Los Angeles,2015.00,Age groups,65+ years,65+ years,4773.00,38.80,
Madera,2015.00,Age groups,65+ years,65+ years,84.00,41.80,
Marin,2015.00,Age groups,65+ years,65+ years,106.00,21.70,
Mariposa,2015.00,Age groups,65+ years,65+ years,18.00,41.10,
Mendocino,2015.00,Age groups,65+ years,65+ years,53.00,30.10,
Merced,2015.00,Age groups,65+ years,65+ years,183.00,62.50,
Modoc,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015.00,Age groups,65+ years,65+ years,190.00,37.50,
Napa,2015.00,Age groups,65+ years,65+ years,85.00,35.50,
Nevada,2015.00,Age groups,65+ years,65+ years,42.00,18.70,
Orange,2015.00,Age groups,65+ years,65+ years,1208.00,29.70,
Placer,2015.00,Age groups,65+ years,65+ years,177.00,28.10,
Plumas,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015.00,Age groups,65+ years,65+ years,743.00,24.50,
Sacramento,2015.00,Age groups,65+ years,65+ years,813.00,43.60,
San Benito,2015.00,Age groups,65+ years,65+ years,24.00,35.10,
San Bernardino,2015.00,Age groups,65+ years,65+ years,880.00,39.60,
San Diego,2015.00,Age groups,65+ years,65+ years,1097.00,26.80,
San Francisco,2015.00,Age groups,65+ years,65+ years,436.00,35.90,
San Joaquin,2015.00,Age groups,65+ years,65+ years,376.00,43.60,
San Luis Obispo,2015.00,Age groups,65+ years,65+ years,95.00,19.50,
San Mateo,2015.00,Age groups,65+ years,65+ years,470.00,43.10,
Santa Barbara,2015.00,Age groups,65+ years,65+ years,167.00,27.90,
Santa Clara,2015.00,Age groups,65+ years,65+ years,834.00,36.80,
Santa Cruz,2015.00,Age groups,65+ years,65+ years,93.00,27.60,
Shasta,2015.00,Age groups,65+ years,65+ years,99.00,28.10,
Sierra,2015.00,Age groups,65+ years,65+ years,0.00,0.00,
Siskiyou,2015.00,Age groups,65+ years,65+ years,23.00,21.70,
Solano,2015.00,Age groups,65+ years,65+ years,355.00,60.70,
Sonoma,2015.00,Age groups,65+ years,65+ years,321.00,38.90,
Stanislaus,2015.00,Age groups,65+ years,65+ years,280.00,42.80,
Sutter,2015.00,Age groups,65+ years,65+ years,41.00,28.30,
Tehama,2015.00,Age groups,65+ years,65+ years,35.00,30.80,
Trinity,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Age groups,65+ years,65+ years,163.00,32.90,
Tuolumne,2015.00,Age groups,65+ years,65+ years,40.00,33.10,
Ventura,2015.00,Age groups,65+ years,65+ years,300.00,26.20,
Yolo,2015.00,Age groups,65+ years,65+ years,97.00,40.70,
Yuba,2015.00,Age groups,65+ years,65+ years,37.00,42.00,
California,2015.00,Race/ethnicity,White,All ages,54967.00,40.10,
Alameda,2015.00,Race/ethnicity,White,All ages,1549.00,32.00,
Alpine,2015.00,Race/ethnicity,White,All ages,0.00,0.00,
Amador,2015.00,Race/ethnicity,White,All ages,161.00,63.80,
Butte,2015.00,Race/ethnicity,White,All ages,764.00,53.30,
Calaveras,2015.00,Race/ethnicity,White,All ages,156.00,50.10,
Colusa,2015.00,Race/ethnicity,White,All ages,37.00,55.10,
Contra Costa,2015.00,Race/ethnicity,White,All ages,1906.00,40.40,
Del Norte,2015.00,Race/ethnicity,White,All ages,110.00,72.90,
El Dorado,2015.00,Race/ethnicity,White,All ages,318.00,25.80,
Fresno,2015.00,Race/ethnicity,White,All ages,1951.00,72.70,
Glenn,2015.00,Race/ethnicity,White,All ages,73.00,53.90,
Humboldt,2015.00,Race/ethnicity,White,All ages,634.00,65.50,
Imperial,2015.00,Race/ethnicity,White,All ages,174.00,73.80,
Inyo,2015.00,Race/ethnicity,White,All ages,52.00,50.80,
Kern,2015.00,Race/ethnicity,White,All ages,1851.00,56.90,
Kings,2015.00,Race/ethnicity,White,All ages,444.00,87.60,
Lake,2015.00,Race/ethnicity,White,All ages,344.00,83.60,
Lassen,2015.00,Race/ethnicity,White,All ages,126.00,57.30,
Los Angeles,2015.00,Race/ethnicity,White,All ages,8625.00,35.40,
Madera,2015.00,Race/ethnicity,White,All ages,229.00,46.60,
Marin,2015.00,Race/ethnicity,White,All ages,324.00,19.50,
Mariposa,2015.00,Race/ethnicity,White,All ages,69.00,51.70,
Mendocino,2015.00,Race/ethnicity,White,All ages,348.00,70.20,
Merced,2015.00,Race/ethnicity,White,All ages,702.00,85.70,
Modoc,2015.00,Race/ethnicity,White,All ages,42.00,72.80,
Mono,2015.00,Race/ethnicity,White,All ages,27.00,36.00,
Monterey,2015.00,Race/ethnicity,White,All ages,464.00,44.70,
Napa,2015.00,Race/ethnicity,White,All ages,318.00,46.00,
Nevada,2015.00,Race/ethnicity,White,All ages,329.00,50.90,
Orange,2015.00,Race/ethnicity,White,All ages,4025.00,33.80,
Placer,2015.00,Race/ethnicity,White,All ages,843.00,33.80,
Plumas,2015.00,Race/ethnicity,White,All ages,68.00,48.70,
Riverside,2015.00,Race/ethnicity,White,All ages,3279.00,40.70,
Sacramento,2015.00,Race/ethnicity,White,All ages,3266.00,49.70,
San Benito,2015.00,Race/ethnicity,White,All ages,92.00,61.50,
San Bernardino,2015.00,Race/ethnicity,White,All ages,3552.00,54.90,
San Diego,2015.00,Race/ethnicity,White,All ages,3698.00,26.20,
San Francisco,2015.00,Race/ethnicity,White,All ages,816.00,26.40,
San Joaquin,2015.00,Race/ethnicity,White,All ages,1335.00,58.00,
San Luis Obispo,2015.00,Race/ethnicity,White,All ages,613.00,39.30,
San Mateo,2015.00,Race/ethnicity,White,All ages,805.00,28.50,
Santa Barbara,2015.00,Race/ethnicity,White,All ages,632.00,36.80,
Santa Clara,2015.00,Race/ethnicity,White,All ages,1753.00,30.10,
Santa Cruz,2015.00,Race/ethnicity,White,All ages,428.00,30.70,
Shasta,2015.00,Race/ethnicity,White,All ages,852.00,65.70,
Sierra,2015.00,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Race/ethnicity,White,All ages,136.00,50.50,
Solano,2015.00,Race/ethnicity,White,All ages,1082.00,69.10,
Sonoma,2015.00,Race/ethnicity,White,All ages,1196.00,39.70,
Stanislaus,2015.00,Race/ethnicity,White,All ages,1370.00,59.10,
Sutter,2015.00,Race/ethnicity,White,All ages,176.00,37.80,
Tehama,2015.00,Race/ethnicity,White,All ages,227.00,58.10,
Trinity,2015.00,Race/ethnicity,White,All ages,62.00,74.70,
Tulare,2015.00,Race/ethnicity,White,All ages,482.00,34.50,
Tuolumne,2015.00,Race/ethnicity,White,All ages,224.00,59.90,
Ventura,2015.00,Race/ethnicity,White,All ages,1162.00,33.10,
Yolo,2015.00,Race/ethnicity,White,All ages,378.00,41.00,
Yuba,2015.00,Race/ethnicity,White,All ages,226.00,53.00,
California,2015.00,Race/ethnicity,Black,All ages,38416.00,177.30,
Alameda,2015.00,Race/ethnicity,Black,All ages,4051.00,218.50,
Alpine,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Amador,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2015.00,Race/ethnicity,Black,All ages,91.00,286.60,
Calaveras,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015.00,Race/ethnicity,Black,All ages,2150.00,232.70,
Del Norte,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015.00,Race/ethnicity,Black,All ages,19.00,176.30,
Fresno,2015.00,Race/ethnicity,Black,All ages,775.00,153.00,
Glenn,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015.00,Race/ethnicity,Black,All ages,49.00,379.60,
Imperial,2015.00,Race/ethnicity,Black,All ages,48.00,119.30,
Inyo,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Kern,2015.00,Race/ethnicity,Black,All ages,1039.00,201.50,
Kings,2015.00,Race/ethnicity,Black,All ages,167.00,177.70,
Lake,2015.00,Race/ethnicity,Black,All ages,21.00,221.70,
Lassen,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015.00,Race/ethnicity,Black,All ages,13260.00,175.80,
Madera,2015.00,Race/ethnicity,Black,All ages,70.00,194.60,
Marin,2015.00,Race/ethnicity,Black,All ages,54.00,87.80,
Mariposa,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Race/ethnicity,Black,All ages,13.00,180.40,
Merced,2015.00,Race/ethnicity,Black,All ages,284.00,361.60,
Modoc,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Mono,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Monterey,2015.00,Race/ethnicity,Black,All ages,135.00,161.40,
Napa,2015.00,Race/ethnicity,Black,All ages,26.00,135.90,
Nevada,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2015.00,Race/ethnicity,Black,All ages,610.00,126.00,
Placer,2015.00,Race/ethnicity,Black,All ages,43.00,112.50,
Plumas,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015.00,Race/ethnicity,Black,All ages,1996.00,139.50,
Sacramento,2015.00,Race/ethnicity,Black,All ages,3440.00,229.90,
San Benito,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2015.00,Race/ethnicity,Black,All ages,2935.00,154.90,
San Diego,2015.00,Race/ethnicity,Black,All ages,1883.00,129.80,
San Francisco,2015.00,Race/ethnicity,Black,All ages,994.00,227.50,
San Joaquin,2015.00,Race/ethnicity,Black,All ages,1194.00,215.70,
San Luis Obispo,2015.00,Race/ethnicity,Black,All ages,45.00,132.30,
San Mateo,2015.00,Race/ethnicity,Black,All ages,132.00,67.70,
Santa Barbara,2015.00,Race/ethnicity,Black,All ages,115.00,151.50,
Santa Clara,2015.00,Race/ethnicity,Black,All ages,602.00,117.50,
Santa Cruz,2015.00,Race/ethnicity,Black,All ages,22.00,87.40,
Shasta,2015.00,Race/ethnicity,Black,All ages,24.00,148.80,
Sierra,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Siskiyou,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015.00,Race/ethnicity,Black,All ages,1228.00,232.80,
Sonoma,2015.00,Race/ethnicity,Black,All ages,97.00,121.50,
Stanislaus,2015.00,Race/ethnicity,Black,All ages,379.00,280.50,
Sutter,2015.00,Race/ethnicity,Black,All ages,21.00,131.30,
Tehama,2015.00,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2015.00,Race/ethnicity,Black,All ages,0.00,0.00,
Tulare,2015.00,Race/ethnicity,Black,All ages,70.00,129.50,
Tuolumne,2015.00,Race/ethnicity,Black,All ages,11.00,,Rate not available due to statistical instability
Ventura,2015.00,Race/ethnicity,Black,All ages,156.00,141.20,
Yolo,2015.00,Race/ethnicity,Black,All ages,62.00,108.00,
Yuba,2015.00,Race/ethnicity,Black,All ages,29.00,135.00,
California,2015.00,Race/ethnicity,Hispanic,All ages,77639.00,48.80,
Alameda,2015.00,Race/ethnicity,Hispanic,All ages,2263.00,57.70,
Alpine,2015.00,Race/ethnicity,Hispanic,All ages,0.00,0.00,
Amador,2015.00,Race/ethnicity,Hispanic,All ages,24.00,53.80,
Butte,2015.00,Race/ethnicity,Hispanic,All ages,121.00,33.50,
Calaveras,2015.00,Race/ethnicity,Hispanic,All ages,21.00,37.70,
Colusa,2015.00,Race/ethnicity,Hispanic,All ages,54.00,34.90,
Contra Costa,2015.00,Race/ethnicity,Hispanic,All ages,1937.00,68.20,
Del Norte,2015.00,Race/ethnicity,Hispanic,All ages,15.00,26.10,
El Dorado,2015.00,Race/ethnicity,Hispanic,All ages,101.00,41.70,
Fresno,2015.00,Race/ethnicity,Hispanic,All ages,4827.00,83.80,
Glenn,2015.00,Race/ethnicity,Hispanic,All ages,39.00,33.90,
Humboldt,2015.00,Race/ethnicity,Hispanic,All ages,40.00,25.70,
Imperial,2015.00,Race/ethnicity,Hispanic,All ages,1139.00,70.40,
Inyo,2015.00,Race/ethnicity,Hispanic,All ages,23.00,47.70,
Kern,2015.00,Race/ethnicity,Hispanic,All ages,2694.00,53.40,
Kings,2015.00,Race/ethnicity,Hispanic,All ages,592.00,70.70,
Lake,2015.00,Race/ethnicity,Hispanic,All ages,79.00,70.00,
Lassen,2015.00,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015.00,Race/ethnicity,Hispanic,All ages,25709.00,50.00,
Madera,2015.00,Race/ethnicity,Hispanic,All ages,704.00,68.80,
Marin,2015.00,Race/ethnicity,Hispanic,All ages,118.00,27.20,
Mariposa,2015.00,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Race/ethnicity,Hispanic,All ages,82.00,33.30,
Merced,2015.00,Race/ethnicity,Hispanic,All ages,1355.00,82.20,
Modoc,2015.00,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015.00,Race/ethnicity,Hispanic,All ages,16.00,32.00,
Monterey,2015.00,Race/ethnicity,Hispanic,All ages,1393.00,51.00,
Napa,2015.00,Race/ethnicity,Hispanic,All ages,168.00,32.40,
Nevada,2015.00,Race/ethnicity,Hispanic,All ages,14.00,15.10,
Orange,2015.00,Race/ethnicity,Hispanic,All ages,4274.00,36.50,
Placer,2015.00,Race/ethnicity,Hispanic,All ages,137.00,23.50,
Plumas,2015.00,Race/ethnicity,Hispanic,All ages,21.00,134.60,
Riverside,2015.00,Race/ethnicity,Hispanic,All ages,4192.00,36.60,
Sacramento,2015.00,Race/ethnicity,Hispanic,All ages,2046.00,59.20,
San Benito,2015.00,Race/ethnicity,Hispanic,All ages,183.00,49.60,
San Bernardino,2015.00,Race/ethnicity,Hispanic,All ages,5105.00,45.30,
San Diego,2015.00,Race/ethnicity,Hispanic,All ages,4392.00,37.70,
San Francisco,2015.00,Race/ethnicity,Hispanic,All ages,593.00,48.50,
San Joaquin,2015.00,Race/ethnicity,Hispanic,All ages,1699.00,56.90,
San Luis Obispo,2015.00,Race/ethnicity,Hispanic,All ages,236.00,35.30,
San Mateo,2015.00,Race/ethnicity,Hispanic,All ages,1154.00,58.30,
Santa Barbara,2015.00,Race/ethnicity,Hispanic,All ages,921.00,42.60,
Santa Clara,2015.00,Race/ethnicity,Hispanic,All ages,2872.00,54.50,
Santa Cruz,2015.00,Race/ethnicity,Hispanic,All ages,441.00,45.60,
Shasta,2015.00,Race/ethnicity,Hispanic,All ages,64.00,33.50,
Sierra,2015.00,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Race/ethnicity,Hispanic,All ages,12.00,22.70,
Solano,2015.00,Race/ethnicity,Hispanic,All ages,656.00,59.30,
Sonoma,2015.00,Race/ethnicity,Hispanic,All ages,508.00,37.00,
Stanislaus,2015.00,Race/ethnicity,Hispanic,All ages,1296.00,53.10,
Sutter,2015.00,Race/ethnicity,Hispanic,All ages,91.00,27.90,
Tehama,2015.00,Race/ethnicity,Hispanic,All ages,77.00,50.40,
Trinity,2015.00,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Race/ethnicity,Hispanic,All ages,1273.00,38.10,
Tuolumne,2015.00,Race/ethnicity,Hispanic,All ages,15.00,22.50,
Ventura,2015.00,Race/ethnicity,Hispanic,All ages,1443.00,37.40,
Yolo,2015.00,Race/ethnicity,Hispanic,All ages,313.00,48.70,
Yuba,2015.00,Race/ethnicity,Hispanic,All ages,62.00,29.20,
California,2015.00,Race/ethnicity,Asian/PI,All ages,9676.00,19.40,
Alameda,2015.00,Race/ethnicity,Asian/PI,All ages,957.00,23.00,
Alpine,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Amador,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Butte,2015.00,Race/ethnicity,Asian/PI,All ages,19.00,21.10,
Calaveras,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Contra Costa,2015.00,Race/ethnicity,Asian/PI,All ages,401.00,26.30,
Del Norte,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015.00,Race/ethnicity,Asian/PI,All ages,12.00,18.40,
Fresno,2015.00,Race/ethnicity,Asian/PI,All ages,237.00,25.50,
Glenn,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Kern,2015.00,Race/ethnicity,Asian/PI,All ages,79.00,23.50,
Kings,2015.00,Race/ethnicity,Asian/PI,All ages,11.00,,Rate not available due to statistical instability
Lake,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Los Angeles,2015.00,Race/ethnicity,Asian/PI,All ages,2360.00,18.00,
Madera,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2015.00,Race/ethnicity,Asian/PI,All ages,25.00,17.40,
Mariposa,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Mendocino,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2015.00,Race/ethnicity,Asian/PI,All ages,33.00,20.30,
Modoc,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Mono,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Monterey,2015.00,Race/ethnicity,Asian/PI,All ages,86.00,31.90,
Napa,2015.00,Race/ethnicity,Asian/PI,All ages,34.00,34.00,
Nevada,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Orange,2015.00,Race/ethnicity,Asian/PI,All ages,814.00,14.80,
Placer,2015.00,Race/ethnicity,Asian/PI,All ages,42.00,15.40,
Plumas,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Riverside,2015.00,Race/ethnicity,Asian/PI,All ages,182.00,13.50,
Sacramento,2015.00,Race/ethnicity,Asian/PI,All ages,749.00,33.40,
San Benito,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2015.00,Race/ethnicity,Asian/PI,All ages,214.00,17.40,
San Diego,2015.00,Race/ethnicity,Asian/PI,All ages,668.00,19.40,
San Francisco,2015.00,Race/ethnicity,Asian/PI,All ages,498.00,20.40,
San Joaquin,2015.00,Race/ethnicity,Asian/PI,All ages,328.00,32.00,
San Luis Obispo,2015.00,Race/ethnicity,Asian/PI,All ages,11.00,,Rate not available due to statistical instability
San Mateo,2015.00,Race/ethnicity,Asian/PI,All ages,361.00,18.50,
Santa Barbara,2015.00,Race/ethnicity,Asian/PI,All ages,38.00,23.50,
Santa Clara,2015.00,Race/ethnicity,Asian/PI,All ages,943.00,16.00,
Santa Cruz,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2015.00,Race/ethnicity,Asian/PI,All ages,20.00,33.80,
Sierra,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Siskiyou,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015.00,Race/ethnicity,Asian/PI,All ages,212.00,33.30,
Sonoma,2015.00,Race/ethnicity,Asian/PI,All ages,32.00,16.90,
Stanislaus,2015.00,Race/ethnicity,Asian/PI,All ages,59.00,21.00,
Sutter,2015.00,Race/ethnicity,Asian/PI,All ages,31.00,20.70,
Tehama,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2015.00,Race/ethnicity,Asian/PI,All ages,0.00,0.00,
Tulare,2015.00,Race/ethnicity,Asian/PI,All ages,23.00,14.10,
Tuolumne,2015.00,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2015.00,Race/ethnicity,Asian/PI,All ages,76.00,13.80,
Yolo,2015.00,Race/ethnicity,Asian/PI,All ages,58.00,33.80,
Yuba,2015.00,Race/ethnicity,Asian/PI,All ages,14.00,37.90,
California,2015.00,Race/ethnicity,AI/AN,All ages,765.00,47.00,
Alameda,2015.00,Race/ethnicity,AI/AN,All ages,185.00,469.60,
Alpine,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Amador,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Butte,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015.00,Race/ethnicity,AI/AN,All ages,13.00,50.90,
Del Norte,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2015.00,Race/ethnicity,AI/AN,All ages,11.00,,Rate not available due to statistical instability
Glenn,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015.00,Race/ethnicity,AI/AN,All ages,49.00,70.40,
Imperial,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Inyo,2015.00,Race/ethnicity,AI/AN,All ages,12.00,71.60,
Kern,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015.00,Race/ethnicity,AI/AN,All ages,51.00,26.10,
Madera,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Race/ethnicity,AI/AN,All ages,19.00,56.80,
Merced,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Monterey,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Nevada,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Orange,2015.00,Race/ethnicity,AI/AN,All ages,13.00,23.70,
Placer,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015.00,Race/ethnicity,AI/AN,All ages,44.00,40.20,
Sacramento,2015.00,Race/ethnicity,AI/AN,All ages,43.00,55.30,
San Benito,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
San Bernardino,2015.00,Race/ethnicity,AI/AN,All ages,69.00,82.70,
San Diego,2015.00,Race/ethnicity,AI/AN,All ages,25.00,17.50,
San Francisco,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Joaquin,2015.00,Race/ethnicity,AI/AN,All ages,19.00,60.90,
San Luis Obispo,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Barbara,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Cruz,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Shasta,2015.00,Race/ethnicity,AI/AN,All ages,28.00,64.90,
Sierra,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Siskiyou,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015.00,Race/ethnicity,AI/AN,All ages,12.00,59.40,
Sonoma,2015.00,Race/ethnicity,AI/AN,All ages,21.00,49.90,
Stanislaus,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sutter,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Trinity,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Race/ethnicity,AI/AN,All ages,23.00,69.30,
Tuolumne,2015.00,Race/ethnicity,AI/AN,All ages,0.00,0.00,
Ventura,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2015.00,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016.00,Total population,All ages,All ages,174733.00,45.80,
Alameda,2016.00,Total population,All ages,All ages,9086.00,57.80,
Alpine,2016.00,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016.00,Total population,All ages,All ages,187.00,61.80,
Butte,2016.00,Total population,All ages,All ages,770.00,38.10,
Calaveras,2016.00,Total population,All ages,All ages,171.00,45.30,
Colusa,2016.00,Total population,All ages,All ages,67.00,29.60,
Contra Costa,2016.00,Total population,All ages,All ages,6021.00,56.80,
Del Norte,2016.00,Total population,All ages,All ages,172.00,71.10,
El Dorado,2016.00,Total population,All ages,All ages,564.00,35.50,
